Wavelength (nm);P-Polarized;S-Polarized;;;
909;53,00174332;52,70576477;;;
910;52,8209343;52,50584412;;;
911;52,63623428;52,29683685;;;
912;52,4322319;52,08718109;;;
913;52,24507904;51,86480713;;;
914;52,06525421;51,63417053;;;
915;51,83941269;51,41093063;;;
916;51,66818619;51,19919586;;;
917;51,47486877;50,9760437;;;
918;51,284729;50,74406433;;;
919;51,09541321;50,5373764;;;
920;50,92121506;50,30639648;;;
921;50,7080307;50,06861877;;;
922;50,53259659;49,85804749;;;
923;50,36617661;49,62569046;;;
924;50,18725586;49,39912033;;;
925;49,99771881;49,18038177;;;
926;49,81217194;48,96763229;;;
927;49,6264534;48,74616241;;;
928;49,44598389;48,50077057;;;
929;49,27813721;48,29565811;;;
930;49,10166168;48,08743668;;;
931;48,92100906;47,86951828;;;
932;48,75705719;47,66733551;;;
933;48,57927704;47,45067215;;;
934;48,40153885;47,23085403;;;
935;48,22580719;47,02930832;;;
936;48,05939484;46,82978439;;;
937;47,87801361;46,62307358;;;
938;47,71237564;46,42337799;;;
939;47,55347061;46,22663116;;;
940;47,37915039;46,0289917;;;
941;47,20627213;45,84593964;;;
942;47,05062485;45,6657753;;;
943;46,88510895;45,47357559;;;
944;46,72695541;45,29787445;;;
945;46,57913208;45,12213898;;;
946;46,38917923;44,95848846;;;
947;46,23064804;44,78323364;;;
948;46,07933044;44,61727142;;;
949;45,89472961;44,44080734;;;
950;45,74466705;44,2854805;;;
951;45,58695984;44,13124466;;;
952;45,4352951;43,97158432;;;
953;45,27302551;43,81933975;;;
954;45,13858032;43,67947388;;;
955;44,97938156;43,52672577;;;
956;44,81307983;43,38401031;;;
957;44,66768265;43,25523376;;;
958;44,53601837;43,11605835;;;
959;44,38225937;42,97122955;;;
960;44,23236084;42,84670639;;;
961;44,09041977;42,73070526;;;
962;43,93527985;42,60306549;;;
963;43,80841827;42,48889542;;;
964;43,65853119;42,35332489;;;
965;43,52906418;42,24002838;;;
966;43,40219116;42,13467026;;;
967;43,25664902;42,02389526;;;
968;43,13552094;41,90816116;;;
969;42,99060822;41,78890991;;;
970;42,86338425;41,68330002;;;
971;42,72156906;41,57043076;;;
972;42,5930481;41,45793915;;;
973;42,45964432;41,35131836;;;
974;42,34448242;41,24327469;;;
975;42,22115707;41,13869095;;;
976;42,1044426;41,03678513;;;
977;41,95419693;40,93379211;;;
978;41,8391037;40,81443024;;;
979;41,73167801;40,69699478;;;
980;41,61050797;40,58959961;;;
981;41,49287415;40,47615051;;;
982;41,36587143;40,37226105;;;
983;41,25391006;40,25802231;;;
984;41,12672043;40,14684677;;;
985;40,99103165;40,01701355;;;
986;40,89953995;39,90325546;;;
987;40,77407837;39,78281403;;;
988;40,67565155;39,6662941;;;
989;40,56355667;39,55402756;;;
990;40,44552612;39,43016052;;;
991;40,32603836;39,31134796;;;
992;40,22051239;39,19510651;;;
993;40,09415054;39,06165695;;;
994;39,99549866;38,92977524;;;
995;39,89096451;38,80310822;;;
996;39,79081345;38,67517853;;;
997;39,67940903;38,55132675;;;
998;39,56721878;38,42653656;;;
999;39,46955109;38,29918671;;;
1000;39,35395432;38,16130829;;;
1001;39,25371933;38,03203583;;;
1002;39,15224075;37,90228653;;;
1003;39,03889465;37,76027679;;;
1004;38,95014954;37,6230278;;;
1005;38,85303879;37,49357605;;;
1006;38,74920273;37,35752106;;;
1007;38,65721893;37,22227859;;;
1008;38,5451622;37,09150696;;;
1009;38,43933868;36,93987656;;;
1010;38,34417343;36,79450226;;;
1011;38,25525284;36,66542435;;;
1012;38,164608;36,53067017;;;
1013;38,07236099;36,40485382;;;
1014;37,98225784;36,27880478;;;
1015;37,88685989;36,13639832;;;
1016;37,77766418;35,99304199;;;
1017;37,69670868;35,86148453;;;
1018;37,59723663;35,72203445;;;
1019;37,50172424;35,59128571;;;
1020;37,42573166;35,46371078;;;
1021;37,34424591;35,33158112;;;
1022;37,25725555;35,21535873;;;
1023;37,16571426;35,09015656;;;
1024;37,07350922;34,96461868;;;
1025;36,97795486;34,83192444;;;
1026;36,89677811;34,70222473;;;
1027;36,81467056;34,58338928;;;
1028;36,73075104;34,46410751;;;
1029;36,65682983;34,34816742;;;
1030;36,58122253;34,23624039;;;
1031;36,49616623;34,12390518;;;
1032;36,41085815;34,00727844;;;
1033;36,317379;33,9041481;;;
1034;36,22935867;33,79018021;;;
1035;36,14896774;33,67713928;;;
1036;36,07858276;33,57455444;;;
1037;36,01749039;33,48309326;;;
1038;35,94418716;33,38892365;;;
1039;35,86809158;33,30729675;;;
1040;35,79200745;33,21088028;;;
1041;35,71273804;33,10682297;;;
1042;35,64295578;33,01533127;;;
1043;35,55761337;32,92870331;;;
1044;35,48065186;32,83365631;;;
1045;35,4168396;32,75697708;;;
1046;35,35243607;32,67989349;;;
1047;35,28719711;32,6048851;;;
1048;35,20691681;32,54164505;;;
1049;35,13525772;32,46892929;;;
1050;34,91165161;32,81658936;;;
1051;34,84466934;32,73080826;;;
1052;34,77732086;32,65041351;;;
1053;34,70613098;32,56145859;;;
1054;34,64096451;32,46999359;;;
1055;34,58728027;32,39473343;;;
1056;34,52419662;32,31253815;;;
1057;34,45153427;32,22420883;;;
1058;34,39818573;32,15129471;;;
1059;34,34745407;32,08599854;;;
1060;34,2719841;32,0083046;;;
1061;34,21134186;31,93439484;;;
1062;34,1538353;31,86590004;;;
